Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
F. Gary Gray in Talks for New Men in Black,2/1/2018,FALSE,9:37 AM,,,Variety
Cowboy Ninja Viking Has a Director,2/1/2018,FALSE,4:06 AM,,,Hollywood Reporter
Nintendo and Illumination Developing Mario Movie,2/1/2018,FALSE,3:22 AM,,,Hollywood Reporter
"House of Cards Resumes Production; Adds Diane Lane, Greg Kinnear",1/31/2018,FALSE,10:23 AM,,,Variety
Bad Boys 3 Could Have a Pair of New Directors,1/31/2018,FALSE,3:25 AM,,,Hollywood Reporter
How About a Game of Million Dollar Pong?,1/30/2018,FALSE,2:25 PM,,,Variety
Fuller House Renewed for Season 4,1/29/2018,FALSE,1:53 PM,,,Variety
Tom Hanks to Star in Mister Rogers Biopic You Are My Friend,1/29/2018,FALSE,11:10 AM,,,Variety
Mike Flanagan to Direct The Shining Sequel Doctor Sleep,1/26/2018,FALSE,10:37 AM,,,Hollywood Reporter
Steven Spielberg Reportedly Remaking West Side Story,1/26/2018,FALSE,3:29 AM,,,Entertainment Weekly
Female-Led Greatest American Hero Earns ABC Pilot Order,1/25/2018,FALSE,4:53 PM,,,Variety
Charmed Reboot Ordered to Pilot at the CW,1/25/2018,FALSE,4:52 PM,,,Variety
Mission: Impossible 6 Has a Title,1/25/2018,FALSE,7:46 AM,,,Hollywood Reporter
The Third Bill & Ted Movie Is Still Moving Along,1/25/2018,FALSE,7:45 AM,,,Digital Spy
Helen Mirren Is Catherine the Great,1/25/2018,FALSE,3:28 AM,,,Variety
CBS Wants More Murphy Brown,1/24/2018,FALSE,2:02 PM,,,Variety
Meryl Streep Joins Big Little Lies Season 2,1/24/2018,FALSE,1:30 PM,,,Variety
Warner Bros. Developing New Cat in the Hat Movie,1/24/2018,FALSE,1:29 PM,,,Variety
Slender Man Movie Delayed Until August,1/24/2018,FALSE,3:14 AM,,,Bloody Disgusting
Barbie Bumped to 2020,1/23/2018,FALSE,4:07 PM,,,Hollywood Reporter
John Cena Could Be Duke Nukem,1/22/2018,FALSE,5:09 PM,,,Hollywood Reporter
Peter Jackson to Helm World War I Documentary,1/22/2018,FALSE,3:26 AM,,,Variety
Disney’s Live-Action Sword in the Stone Has Its Director,1/20/2018,FALSE,11:35 AM,,,Hollywood Reporter
Chad Stahelski Confirmed to Direct John Wick 3,1/19/2018,FALSE,8:24 AM,,,Collider.com
Toy Story 4 Has a Writer,1/18/2018,FALSE,5:19 PM,,,Hollywood Reporter
Men in Black Spinoff Moves from May to June 2019,1/18/2018,FALSE,5:18 PM,,,deadline
Rachel Weisz Is On Cloud One,1/18/2018,FALSE,11:50 AM,,,Variety
Freeform Developing Party of Five Reboot,1/18/2018,FALSE,11:05 AM,,,Variety
"Amazon Cancels I Love Dick, One Mississippi, Jean-Claude Van Johnson",1/18/2018,FALSE,3:49 AM,,,Variety
Ellen Pompeo Signs Two-Year Grey’s Anatomy Extension,1/17/2018,FALSE,8:45 AM,,,Variety
The Tick Renewed for Season 2,1/17/2018,FALSE,8:44 AM,,,Variety
The Flash Movie May Have Found Its Directors,1/16/2018,FALSE,5:46 PM,,,Variety
Creed 2 Adds Florian Munteanu,1/16/2018,FALSE,3:13 AM,,,Hollywood Reporter
Leonardo DiCaprio Joins Quentin Tarantino’s 1969 Movie,1/12/2018,FALSE,4:16 PM,,,Hollywood Reporter
Shazam! Dated for 2019,1/12/2018,FALSE,4:15 PM,,,Variety
Clive Owen Joins Will Smith for Gemini Man,1/12/2018,FALSE,4:14 PM,,,Variety
Hulu Close to Series Order for George Clooney’s Catch-22,1/12/2018,FALSE,4:13 PM,,,Variety
John Wick Series Confirmed at Starz,1/12/2018,FALSE,4:12 PM,,,deadline
"Fox Shuffles Deadpool 2, New Mutants, Gambit",1/11/2018,FALSE,1:21 PM,,,Variety
Gore Verbinski Exits Gambit,1/11/2018,FALSE,11:18 AM,,,Hollywood Reporter
Natalie Portman in Talks for Pale Blue Dot,1/11/2018,FALSE,10:23 AM,,,Variety
Marvel Has a Screenwriter for the Black Widow Movie,1/10/2018,FALSE,4:06 PM,,,Variety
"Millie Bobby Brown to Produce, Star in Enola Holmes Mysteries",1/9/2018,FALSE,1:57 PM,,,deadline
X-Men Spinoff Movie Kitty Pryde in the Works at Fox,1/9/2018,FALSE,10:05 AM,,,Collider.com
Vin Diesel in Talks for Bloodshot,1/8/2018,FALSE,8:23 AM,,,TheWrap
Sons of Anarchy Spinoff Earns Series Order,1/5/2018,FALSE,1:14 PM,,,Variety
"FX Announces Return Dates for Atlanta, The Americans",1/5/2018,FALSE,1:13 PM,,,Variety
Matt Reeves Signs First-Look Deal with Netflix,1/5/2018,FALSE,9:26 AM,,,Variety
David Letterman’s Netflix Series Sets January Premiere,1/5/2018,FALSE,9:26 AM,,,Variety
Animaniacs Are Back (And Headed to Hulu),1/4/2018,FALSE,4:16 PM,,,Variety
Ridley Scott in Talks for Disney’s Merlin Saga,1/4/2018,FALSE,4:15 PM,,,Variety
Game of Thrones Season 8 Confirmed for 2019,1/4/2018,FALSE,11:30 AM,,,Variety
The Gifted Earns Season 2 Renewal,1/4/2018,FALSE,10:17 AM,,,Variety
Lost Will Stream Exclusively at Hulu,1/4/2018,FALSE,7:55 AM,,,Variety
Bright Is Getting a Sequel,1/3/2018,FALSE,7:25 AM,,,Variety
Netflix Has Gotta Have a Second Season of She’s Gotta Have It,1/2/2018,FALSE,3:15 AM,,,Variety
Quentin Tarantino’s Star Trek Movie Has a Writer,12/21/2017,FALSE,5:50 PM,,,Variety
A Star Is Born Bumped to October 2018,12/20/2017,FALSE,4:49 PM,,,Hollywood Reporter
"Artemis Fowl Adds Judi Dench, Josh Gad",12/20/2017,FALSE,2:05 PM,,,Hollywood Reporter
The Room Is Getting a Wide Theatrical Release,12/20/2017,FALSE,3:42 AM,,,Hollywood Reporter
48 Hours Remake in Development,12/14/2017,FALSE,12:49 PM,,,Hollywood Reporter
Curb Your Enthusiasm Renewed for Season 10,12/14/2017,FALSE,11:12 AM,,,Variety
Disney and Fox Agree to $52.4 Billion Merger Deal,12/14/2017,FALSE,5:52 AM,,,Variety
Finn Wolfhard to Star in The Turning,12/13/2017,FALSE,1:33 PM,,,Variety
Mr. Robot Earns Season 4 Renewal,12/13/2017,FALSE,8:41 AM,,,Variety
"National Film Registry Adds Superman, Goonies, Die Hard, and More",12/13/2017,FALSE,3:12 AM,,,Variety
Woody Harrelson in Talks for Venom,12/12/2017,FALSE,4:58 PM,,,Variety
Netflix Renews The Punisher for Season 2,12/12/2017,FALSE,1:32 PM,,,Variety
Steven Caple Jr. to Direct Creed 2,12/11/2017,FALSE,1:50 PM,,,Variety
Big Little Lies Officially Renewed for Season 2,12/8/2017,FALSE,1:48 PM,,,Variety
Queen Biopic Bohemian Rhapsody Finds New Director in Dexter Fletcher,12/6/2017,FALSE,5:31 PM,,,Variety
Ryan Reynolds Is Detective Pikachu,12/6/2017,FALSE,4:34 PM,,,Hollywood Reporter
Jordan Peele’s Twilight Zone Is Officially a Go at CBS All Access,12/6/2017,FALSE,10:25 AM,,,Variety
Black Mirror Sets Season 4 Premiere,12/6/2017,FALSE,8:13 AM,,,Variety
Ridley Scott Talks Alien Franchise Future Plans,12/6/2017,FALSE,5:59 AM,,,Entertainment Weekly
The Girl in the Spider’s Web Taps Borg/McEnroe Star for Male Lead,12/6/2017,FALSE,4:01 AM,,,Variety
Quentin Tarantino May Have an Idea for a Star Trek Movie,12/5/2017,FALSE,2:30 AM,,,Hollywood Reporter
James Franco IS Shel Silverstein,12/1/2017,FALSE,1:26 PM,,,Variety
Netflix Picks Up Sabrina the Teenage Witch,12/1/2017,FALSE,1:25 PM,,,Variety
Stranger Things Renewed for Season 3,12/1/2017,FALSE,8:28 AM,,,Variety
James Mangold to Direct Crenshaw,11/30/2017,FALSE,2:45 PM,,,Hollywood Reporter
Jim Nabors: 1930-2017,11/30/2017,FALSE,11:15 AM,,,Los Angeles Times
Mindhunter Renewed for Season 2,11/30/2017,FALSE,8:57 AM,,,Variety
Shaft Sequel Dated for 2019,11/30/2017,FALSE,3:17 AM,,,Variety
SMILF Renewed for Season 2,11/29/2017,FALSE,12:38 PM,,,Variety
Disney’s Live-Action Mulan Has Found Its Star,11/29/2017,FALSE,9:25 AM,,,Hollywood Reporter
Captain Marvel Adds Jude Law,11/22/2017,FALSE,12:40 PM,,,Variety
The Good Place Renewed for Season 3,11/21/2017,FALSE,10:50 AM,,,Variety
Murder on the Orient Express Sequel Revs Up,11/20/2017,FALSE,4:52 PM,,,Hollywood Reporter
"Noah Baumbach Adds Adam Driver, Scarlett Johansson, Laura Dern to Next Film",11/17/2017,FALSE,1:29 PM,,,Variety
Nashville‘s Sixth Season Will Be Its Last,11/17/2017,FALSE,10:04 AM,,,Variety
"Benedict Cumberbatch, Jake Gyllenhaal, and Michelle Williams Are Bound for Rio",11/17/2017,FALSE,2:31 AM,,,Variety
Justice Smith to Lead Detective Pikachu,11/16/2017,FALSE,3:44 PM,,,Variety
Dunkirk Earns Awards Season Theatrical Run,11/16/2017,FALSE,1:01 PM,,,Variety
James Franco Could Be Multiple Man,11/16/2017,FALSE,10:15 AM,,,Hollywood Reporter
Titanic Is Returning to Theaters,11/15/2017,FALSE,12:46 PM,,,Hollywood Reporter
